itemId,Events,isMogstation,dutyIds
34926,,False,791
34928,,False,791
34927,,False,791
34929,,False,791
34931,,False,791
34930,,False,791
34933,,False,791
34932,,False,791
34935,,False,791
34937,,False,791
34936,,False,791
34934,,False,791
34941,,False,791
34938,,False,791
34940,,False,791
34939,,False,791
34942,,False,791
34943,,False,791
35246,,False,801
35250,,False,801
35247,,False,801
35251,,False,801
35248,,False,801
35252,,False,801
35254,,False,801
35258,,False,801
35249,,False,801
35253,,False,801
35255,,False,801
35262,,False,801
35259,,False,801
35256,,False,801
35260,,False,801
35263,,False,801
35257,,False,801
35261,,False,801
36927,,False,846
36931,,False,846
36924,,False,846
36928,,False,846
36935,,False,846
36925,,False,846
36932,,False,846
36939,,False,846
36929,,False,846
36936,,False,846
36926,,False,846
36933,,False,846
36940,,False,846
36930,,False,846
36937,,False,846
37131,,False,866
37135,,False,866
36934,,False,846
36941,,False,846
37139,,False,866
36938,,False,846
37132,,False,866
37147,,False,866
37136,,False,866
37155,,False,866
37140,,False,866
37133,,False,866
37148,,False,866
37163,,False,866
37156,,False,866
37137,,False,866
37141,,False,866
37134,,False,866
37149,,False,866
37157,,False,866
37164,,False,866
37142,,False,866
37138,,False,866
37150,,False,866
37158,,False,866
37165,,False,866
37143,,False,866
37159,,False,866
37144,,False,866
37151,,False,866
37160,,False,866
37145,,False,866
37152,,False,866
37146,,False,866
37161,,False,866
37153,,False,866
37162,,False,866
37154,,False,866
37860,,False,871
37861,,False,871
37862,,False,871
37863,,False,871
37864,,False,871
37865,,False,871
37868,,False,871
37857,,False,871
37869,,False,871
37866,,False,871
37858,,False,871
37870,,False,871
37867,,False,871
37859,,False,871
37871,,False,871
37872,,False,871
37873,,False,871
37874,,False,871
38082,,False,884
38088,,False,884
38083,,False,884
38096,,False,884
38089,,False,884
38084,,False,884
38097,,False,884
38090,,False,884
38085,,False,884
38098,,False,884
38091,,False,884
38086,,False,884
38099,,False,884
38093,,False,884
38087,,False,884
38094,,False,884
38095,,False,884
38959,,False,896
38960,,False,896
38961,,False,896
38967,,False,896
38975,,False,896
38962,,False,896
38983,,False,896
38963,,False,896
38976,,False,896
38984,,False,896
38968,,False,896
38991,,False,896
38964,,False,896
38977,,False,896
38985,,False,896
38969,,False,896
38965,,False,896
38978,,False,896
38986,,False,896
38970,,False,896
38966,,False,896
38979,,False,896
38957,,False,896
38971,,False,896
38980,,False,896
38987,,False,896
38958,,False,896
38981,,False,896
38988,,False,896
38972,,False,896
38982,,False,896
38973,,False,896
39089,,False,911
38989,,False,896
38974,,False,896
38990,,False,896
39090,,False,911
39097,,False,911
39105,,False,911
39091,,False,911
39121,,False,911
39113,,False,911
39098,,False,911
39106,,False,911
39092,,False,911
39122,,False,911
39114,,False,911
39099,,False,911
39107,,False,911
39129,,False,924
39093,,False,911
39123,,False,911
39100,,False,911
39115,,False,911
39108,,False,911
39130,,False,924
39094,,False,911
39116,,False,911
39101,,False,911
39109,,False,911
39131,,False,924
39095,,False,911
39125,,False,924
39117,,False,911
39110,,False,911
39102,,False,911
39096,,False,911
39132,,False,924
39126,,False,924
39111,,False,911
39103,,False,911
39133,,False,924
39118,,False,911
39127,,False,924
39112,,False,911
39104,,False,911
39134,,False,924
39119,,False,911
39128,,False,924
39120,,False,911
39135,,False,924
39136,,False,924
39137,,False,924
39138,,False,924
39139,,False,924
39140,,False,924
39141,,False,924
39142,,False,924
39950,,False,950
39951,,False,950
39952,,False,950
39953,,False,950
39954,,False,950
39955,,False,950
39956,,False,950
39957,,False,950
39958,,False,950
39941,,False,950
39942,,False,950
39943,,False,950
39944,,False,950
39945,,False,950
39946,,False,950
39947,,False,950
39948,,False,950
40170,,False,943
39949,,False,950
40171,,False,943
40172,,False,943
40173,,False,943
40174,,False,943
40175,,False,943
40176,,False,943
40177,,False,943
40178,,False,943
40179,,False,943
40180,,False,943
40165,,False,943
40181,,False,943
40166,,False,943
40182,,False,943
40167,,False,943
40183,,False,943
40168,,False,943
40184,,False,943
40169,,False,943
40765,,False,823
40781,,False,823
40782,,False,823
40766,,False,823
40797,,False,823
40767,,False,823
40783,,False,823
40798,,False,823
40768,,False,823
40784,,False,823
40799,,False,823
40785,,False,823
40769,,False,823
40786,,False,823
40770,,False,823
40787,,False,823
40771,,False,823
40903,,False,962
40904,,False,962
40772,,False,823
40788,,False,823
40919,,False,962
40905,,False,962
40773,,False,823
40789,,False,823
40920,,False,962
40906,,False,962
40774,,False,823
40790,,False,823
40921,,False,962
40907,,False,962
40775,,False,823
40791,,False,823
40908,,False,962
40922,,False,962
40792,,False,823
40776,,False,823
40909,,False,962
40923,,False,962
40793,,False,823
40777,,False,823
40924,,False,962
40910,,False,962
40794,,False,823
40778,,False,823
40897,,False,962
40925,,False,962
40911,,False,962
40795,,False,823
40898,,False,962
40779,,False,823
40926,,False,962
40912,,False,962
40780,,False,823
40796,,False,823
40899,,False,962
40927,,False,962
40900,,False,962
41036,,False,965
40928,,False,962
40913,,False,962
40901,,False,962
41037,,False,965
40929,,False,962
40914,,False,962
40902,,False,962
41038,,False,965
40930,,False,962
40915,,False,962
41039,,False,965
40931,,False,962
40916,,False,962
41040,,False,965
40917,,False,962
41041,,False,965
41034,,False,965
40918,,False,962
41035,,False,965
41042,,False,965
41043,,False,965
41044,,False,965
41045,,False,965
41046,,False,965
41047,,False,965
41048,,False,965
41049,,False,965
41050,,False,965
41051,,False,965
